"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000145779",171.646697940477,-0.939678506749555,0.228088799644399,3.76814925071925e-06,8.6776654483955e-05,"TNFAIP8","TNF alpha induced protein 8"
"ENSG00000068079",244.337993087317,0.807679120594137,0.193500880130362,3.81642435724338e-06,8.725609070014e-05,"IFI35","interferon induced protein 35"
"ENSG00000139182",129.121725447258,1.12263422540329,0.279520544226171,4.57055199493044e-06,0.000103374061199613,"CLSTN3","calsyntenin 3"
"ENSG00000162078",148.403207996084,0.95207374337925,0.233827632336083,4.5864514251559e-06,0.000103374061199613,"ZG16B","zymogen granule protein 16B"
"ENSG00000203727",30.1449825022072,-2.09501211849362,0.53555179400838,4.68714141394764e-06,0.000104899545165673,"SAMD5","sterile alpha motif domain containing 5"
"ENSG00000138623",242.04551516818,-0.89849609035077,0.220546041566512,4.86829244091737e-06,0.000108191841798849,"SEMA7A","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000179833",1775.85975337618,0.582242916731986,0.137942813492627,5.44057500290661e-06,0.000120070467772481,"SERTAD2","SERTA domain containing 2"
"ENSG00000172137",64.233418891396,1.47714842687491,0.378537680703882,5.78987478724769e-06,0.000126898083268091,"CALB2","calbindin 2"
"ENSG00000169045",2504.50366977448,-0.637266289053718,0.152522666242135,6.06723547117925e-06,0.000131167852567399,"HNRNPH1","heterogeneous nuclear ribonucleoprotein H1"
"ENSG00000223496",686.751882151532,0.66670816730973,0.160994505192818,6.04493583008224e-06,0.000131167852567399,"EXOSC6","exosome component 6"
"ENSG00000168899",104.866396910899,1.11693608994438,0.282365844526084,6.12412133277404e-06,0.000131503091861864,"VAMP5","vesicle associated membrane protein 5"
"ENSG00000176678",245.472381895159,-0.92785589496568,0.232315005721285,6.3072890619747e-06,0.000134527279456078,"FOXL1","forkhead box L1"
"ENSG00000206503",5408.94008326544,0.652481397987644,0.15776697014678,6.47666900978572e-06,0.00013721902742066,"HLA-A","major histocompatibility complex, class I, A"
"ENSG00000196981",279.526789805083,0.855161306103561,0.212443236812787,6.53729112930854e-06,0.000137586166946639,"WDR5B","WD repeat domain 5B"
"ENSG00000130700",50.8921685018986,-1.57795877945686,0.414838589774805,8.08713051588363e-06,0.000167175633032042,"GATA5","GATA binding protein 5"
"ENSG00000204516",1119.63049597164,-0.534977108554959,0.128587828554187,8.10102186498881e-06,0.000167175633032042,"MICB","MHC class I polypeptide-related sequence B"
"ENSG00000228253",21044.3827011451,0.748859263755344,0.185970939260216,8.0777341194124e-06,0.000167175633032042,"MT-ATP8","ATP synthase F0 subunit 8"
"ENSG00000254726",390.791482440578,-0.696226665444088,0.173089484471335,9.06947043094957e-06,0.000185953400190695,"MEX3A","mex-3 RNA binding family member A"
"ENSG00000174332",7.93629728719473,-6.54464000113315,2.70952845505701,1.00349781486119e-05,0.000204430516386466,"GLIS1","GLIS family zinc finger 1"
"ENSG00000183943",354.094145938377,-0.800917842410813,0.203707743040863,1.02399040008053e-05,0.000207276528118211,"PRKX","protein kinase cAMP-dependent X-linked catalytic subunit"
"ENSG00000177283",24.936047563421,-2.61906180351074,0.71424507097286,1.12518018622711e-05,0.00022631788809049,"FZD8","frizzled class receptor 8"
"ENSG00000167653",151.039680827237,1.01789897256104,0.265829014711348,1.14851844527337e-05,0.000228124476192422,"PSCA","prostate stem cell antigen"
"ENSG00000176444",524.837712422022,-0.641030137366014,0.160142430387827,1.14620482652662e-05,0.000228124476192422,"CLK2","CDC like kinase 2"
"ENSG00000244462",3114.47993773165,-0.541347747349634,0.132516006666445,1.16259612195375e-05,0.000229486364942175,"RBM12","RNA binding motif protein 12"
"ENSG00000104967",83.7691675566997,1.22034344469174,0.325021539673571,1.19238611620951e-05,0.000233913770204557,"NOVA2","NOVA alternative splicing regulator 2"
"ENSG00000125944",6294.25167229081,-0.531401797523729,0.131113438016426,1.2996342235184e-05,0.000253388807505611,"HNRNPR","heterogeneous nuclear ribonucleoprotein R"
"ENSG00000142408",3530.25435123917,0.44944303217969,0.109316925259257,1.36264056986983e-05,0.000264053154332092,"CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8"
"ENSG00000198855",174.575392391867,0.869443003957665,0.22677956460557,1.38739601157501e-05,0.000267220880290024,"FICD","FIC domain protein adenylyltransferase"
"ENSG00000004478",2207.82992072386,-0.4797928724828,0.11797669671303,1.46027255546857e-05,0.000279563022968621,"FKBP4","FKBP prolyl isomerase 4"
"ENSG00000137868",56.1073991297548,-1.31687851506151,0.361628629203977,1.70592925001354e-05,0.000324637314763055,"STRA6","signaling receptor and transporter of retinol STRA6"
"ENSG00000225614",221.452659833872,1.14752605720038,0.311590073229468,1.71817943299061e-05,0.000325022276074057,"ZNF469","zinc finger protein 469"
"ENSG00000174327",237.393342451778,0.835571975180961,0.220174854880388,1.73056069227009e-05,0.000325427330179547,"SLC16A13","solute carrier family 16 member 13"
"ENSG00000079257",2996.93103101739,0.576204143023052,0.145924584159033,1.76719486986724e-05,0.000330361488025771,"LXN","latexin"
"ENSG00000064195",79.4933325743538,1.14482735394484,0.317622280343174,2.35665665918256e-05,0.000437979816542817,"DLX3","distal-less homeobox 3"
"ENSG00000221963",939.221928917988,0.683326912593528,0.180634733151513,2.53303082165162e-05,0.000468021625070282,"APOL6","apolipoprotein L6"
"ENSG00000213672",384.929209013294,-0.667675710275592,0.178110253442772,2.96782821027887e-05,0.000545188326720592,"NCKIPSD","NCK interacting protein with SH3 domain"
"ENSG00000043591",208.827757446403,-0.779880403700395,0.212426536382774,3.0627792746729e-05,0.000559397272121291,"ADRB1","adrenoceptor beta 1"
"ENSG00000157881",303.906653301486,-0.758465716148089,0.206077920392585,3.09895048117758e-05,0.000562769407381849,"PANK4","pantothenate kinase 4 (inactive)"
"ENSG00000235961",83.7262188394113,1.17905983087334,0.335145107248508,3.12355160604586e-05,0.000564014034318962,"PNMA6A","PNMA family member 6A"
